a0,b0,c0,beta,p5,Media,Variancia,Assimetria,Curtose,ACF_5,ACF_10,ACF_15,ACF_20,ACF_Q1,ACF_Q2
0.5536297478110666,0.8508623944207465,0.5730098070066321,0.2503160117502303,0.08793396693509141,0.0002125671439923921,8.899168161157031e-06,0.43635078025954765,3.13503391465556,-0.014836149052760393,-0.025756857061346918,-0.011939515287890723,-0.10517147460026008,0.14229265464831914,0.04039697069238854
0.7414652445422245,0.6266628089277464,0.6686822582951288,0.16934636605507108,0.0755209418250155,0.0002639186978717524,9.574764363071484e-06,0.4249171537674519,3.1284599816453458,-0.04040055524170534,-0.08339534538164928,-0.032398516663700215,-0.10988030624386935,0.16032860952883443,0.05358551283501827
0.8017106068886591,0.851867813004427,0.6226014864257677,0.24364888453720945,0.11504311148975566,0.0006990936640729199,2.008384045889957e-05,0.6751008522241135,3.6789836737391846,0.031251081716599016,-0.047076320260955505,-0.04355461206278811,-0.1033374683746143,0.3270081979027652,0.1592988303848558
0.5107783426903687,0.7138418941891137,0.6190085454186479,0.22505168637411976,0.14286063215777461,0.000501357313702655,2.5707831644398085e-05,0.40758305401142114,3.1132162223568347,-0.009869564931760985,-0.020642865998715627,-0.015189126631591922,-0.12113013307463627,0.16848377351960309,0.003302754228111963
0.875631413228291,0.8356407434501514,0.7096511819132993,0.2332773180731403,0.08896896911468934,0.00031723141564448374,1.6388029039907018e-05,0.5609821431129316,3.117600202522257,0.013218849337733303,-0.14700754863543158,-0.018380753331772637,-0.017840769974671655,0.32285370961655474,0.1581397307434081
0.6382191443845397,0.5470350009243239,0.8391524987622277,0.21258188925475863,0.11907517073107998,0.0003359064586173228,3.018662493209362e-05,0.7341979523956459,3.383275074174823,-0.026862913890523175,-0.03162441534723084,0.018376687866852932,-0.13467333876214282,0.1345509118760706,-0.00996033111724405
0.5982943270780168,0.5121269017540695,0.6589874292949639,0.11634918661571254,0.12072144625662046,0.0001882101579507103,2.2305633623796735e-05,0.5744219633618506,3.452061403193447,0.04585615293991394,0.0035736887375168542,-0.01998908444579643,-0.10061183115122448,0.09155423933864043,0.021245589979404976
0.6411196583525218,0.6786762392166765,0.716270840979907,0.12799081391388417,0.11702678045094127,0.0003176688404670112,2.532978555435901e-05,0.4212399312403911,2.831933015859085,-0.08083098934107712,-0.048329979200470795,-0.029601607910298228,-0.14536787819284547,0.14301488997271405,0.0454300150110501
0.8730876249065171,0.581977096865455,0.8222912841557349,0.12963759033505096,0.07458839162742452,0.0004936220100724867,1.4920075912462419e-05,0.42661806963587007,2.773261035864988,0.07529208177507754,-0.07939991505812125,-0.03310240467848166,-0.1142706700379727,0.09710336543605971,0.014177677851537302
0.7886926984477012,0.7145305676662214,0.7840503132440265,0.1324316555369386,0.07065218662961252,0.0002552244892271176,1.2649273341374624e-05,0.4653460730728214,3.139814016048073,-0.022960300200857535,-0.14791088501541025,-0.09285000449247742,-0.09384381614802424,0.14039393711378673,-0.01167147611290911
0.76087791122984,0.7084784400646795,0.8277565411209842,0.2588831768060677,0.1412309901880054,0.0006288374065455475,4.420753154397227e-05,0.6287629405270907,3.1174975471032687,-0.02324560450623004,-0.10640775161593526,-0.07805437797361339,-0.044509187646167014,0.2031952225807612,0.1271826014293929
0.8851981984846355,0.7805324410533253,0.6936393766833835,0.10432120408319859,0.09843289536753654,0.00037522425988298027,2.526579181398015e-05,0.5279923388607314,3.0939045564827343,0.048665087057788305,-0.1211532350309279,-0.09504728797425024,-0.10117902084690958,0.2160894429873671,0.033132051558627765
0.8123579796708682,0.8643792559046006,0.5864914242285695,0.13906409825587446,0.13841051561351664,0.0006235919988057184,2.9912332445956646e-05,0.47165155603723435,3.335427649057514,-0.035551266464813575,-0.028659387904394013,-0.055810717629828144,-0.07067645418559756,0.2391926670468548,0.0376646567595319
0.6362680039185615,0.5280224828105387,0.6510005387318714,0.18671805694976282,0.12221294030810712,0.0001915768412308771,2.3297010647292527e-05,0.49498845961623344,3.344529888963655,-0.10961336325787242,-0.03752113916750778,0.11186451144418655,-0.14675774953386547,0.24756219645718003,0.09372561804389928
0.7896022703805261,0.7886761545929744,0.7118979345413631,0.14620641559774117,0.1130500843201509,0.0004296799884831439,2.7642147821416834e-05,0.6170841655268775,3.0827459537148645,-0.013787402078455465,-0.043914483251639394,-0.06957503268313012,-0.022116626807112853,0.17605733142220786,0.037020391141197456
0.6940800992230685,0.8514400050212425,0.5708350651230827,0.267391877162572,0.14073369898055643,0.00023066175783332827,1.822676666812838e-05,0.185158303803232,2.8825785514980953,0.009992228434598181,-0.13040111916215258,-0.060407284940785635,-0.010523193991319001,0.17794991906242408,0.041014761015507745
0.5656782521335271,0.7069951881117365,0.7210868364726932,0.1914781025248085,0.147078453155415,0.0004378488512541722,4.0778882509146816e-05,0.9051681893594066,4.019792772323374,0.005688633376735957,-0.04845479433224982,-0.02981794188924509,-0.1352960477714847,0.30094650607806145,0.11473186059835706
0.8497010153990603,0.814940450535169,0.7505663050042188,0.12908778310882166,0.09374917431408783,0.0005904987803356676,2.264104248596261e-05,0.6336967369388642,3.4662478756070123,0.09035662184887337,-0.09188709208830836,-0.13121105668894245,-0.0695549243127508,0.2944085219125939,0.04653965156376589
0.7667552748980446,0.6469558625360978,0.5025927175090179,0.21316254293535647,0.13632243281843387,0.00021951110198080881,1.6140616044743326e-05,0.3310573125740308,2.801723820743922,0.01362137196177723,-0.03928871999901841,-0.04432967172900414,-0.1385757994779152,0.16339194429743278,-0.025686491668639802
0.6141294264614977,0.5116049441731195,0.7657015738763989,0.2505793623583438,0.11246795266910327,0.0003735571892896808,2.171299175637475e-05,0.4119923138915573,2.842858406243308,-0.00331985111905065,0.00811935045746413,-0.018557286594454762,-0.12037810037075372,0.1258315664769092,-0.024104802447342446
0.8164156789553764,0.6197455958035818,0.7166152256671758,0.1434732361345228,0.06377655655967777,0.000251966092310643,8.863844488367158e-06,0.6525191093472393,3.1429920156538493,-0.04077465527183334,-0.001991776433478965,0.05804214849813192,-0.12496016609112383,0.3069774411979571,0.11106452249167914
0.6759000005371084,0.7013525887540731,0.6287367268862227,0.20039253146581215,0.1038688991208042,0.00047609522535886184,1.635711666046424e-05,0.4448112448186033,3.1870441826390223,0.04967007231810697,-0.05484866665297983,-0.05494471296055957,-0.134479302215409,0.30975605083509716,0.09995406428926366
0.7839035835691028,0.6990448402004402,0.750665252253012,0.2286275015633484,0.07234185524358393,7.630459675864691e-05,9.378640308698493e-06,0.5653474383642694,3.313427850781684,-0.029972155751755623,-0.06901402709659647,0.015637747415103244,-0.1595512760457174,0.1840281054064451,0.008808658642630252
0.59608895903098,0.7502232090476384,0.7673301573824911,0.2682006499240074,0.13530372233864957,0.0003134217009155941,3.3692313719734715e-05,0.5981147579904169,3.1779765279213112,-0.04227068840325144,0.020904412536870046,-0.023651272084727625,-0.04571943700083224,0.172992335698597,0.05128762817610846
0.8557463389122413,0.6831012091403513,0.7887561146119229,0.2290601990702883,0.08172704335808162,0.0003741138433234505,1.288791266710738e-05,0.5828994106961463,3.247048608638383,-0.0628594954323783,-0.09005932573606792,-0.01866178034314577,-0.09575835321910203,0.14802377689270402,0.09418274558243311
0.6564198402839426,0.6034436814741954,0.5597362128162977,0.15153809547002223,0.12889777476758904,0.00015546774260260133,1.8449165287736357e-05,0.49938372008619086,3.4916093645740913,-0.06307182849587402,0.006967771861585672,-0.07554034329774434,-0.0966818025453253,0.17057340222063655,-0.06838323449454142
0.6578509905365009,0.5184133550626119,0.5047263959764409,0.28122996194295297,0.08814998096113194,0.00017813295874424348,5.125215149274566e-06,0.3999913316047714,3.211078005273999,-0.005704305363556412,-0.08099024206040425,-0.03104504277722052,-0.09549338061438657,0.2075938765388833,0.054927881996590947
0.65341203363696,0.6440289644901745,0.6286975274208296,0.18638209597382416,0.13979479404589484,0.0007822586487919749,3.238197508523581e-05,0.4315015173796519,3.0530175651120235,-0.05424070586116374,-0.1402735482129565,-0.027848462916771642,-0.12035070986610223,0.1991434664928502,0.007962326680869072
0.7439428078604233,0.682685107165605,0.6782458206468542,0.15911721839978407,0.06813497206886189,0.0003068166900418229,8.529248007002233e-06,0.5329930294881411,3.0672394021054004,0.09639102978244705,-0.031879221633573034,-0.02797097008660747,-0.09730937513629043,0.17460714771231278,0.01036482727036707
0.8274273858883716,0.7512395462473591,0.5851096885903857,0.1671426187068213,0.12778463009390695,0.00031762220172633566,2.031742401183477e-05,0.5636146976651615,3.3474961701852877,0.040667743331988845,-0.0046024277181123015,-0.11133161576543814,-0.17235122654983678,0.17138053977574993,-0.012623580297392089
0.8812390734020799,0.5825807459674757,0.8019033797554878,0.16188910354674052,0.06274528149360636,0.0002741438890668999,1.03762794532838e-05,0.536280120453076,2.7452293533034284,-0.00045206831000665904,-0.07113990728098325,-0.03700206130746468,-0.054192494423392426,0.2240078501889225,0.18027037501613602
