Media,Variancia,Assimetria,Curtose,acf_5,acf_10,acf_15,acf_20,autocorr_q_1,autocorr_q_2
0.0001412999259682106,1.052022578705901e-05,0.666244582865657,9.369070138438351,0.10042217297474128,0.040642615140966044,0.009899190985943766,-0.006168819435042932,0.15165997441298942,0.21467957679516575
0.00039870945185414716,1.1884271077525144e-05,1.0085344640291545,9.10130704302561,0.10205716723144187,-0.06655531644135666,-0.05047802357160343,-0.1243954335912644,0.37900282192424417,0.20757203137418992
4.451391138673699e-05,9.951886618200825e-06,-0.07684760521411692,6.46156749522871,0.0199664536638407,-0.07336380716165576,-0.030344377109302097,0.02560999980248885,0.16299900778572987,0.03636811502998589
-0.00012379343547635457,2.0203481090826085e-05,0.751545852861553,9.421992154201904,0.1178349765157897,-0.05393333677014941,-0.026229705090670432,0.06168649073232066,0.45473845378217126,0.24276117725449234
-0.00022023948287622374,1.6274132989606514e-05,0.6151417799851108,10.042503090166905,0.10804011061254758,0.13980234163398633,-0.033635995783070936,-0.009115287374566806,0.516478090105641,0.20109426188606394
0.0004221625290063642,1.1642599134684571e-05,-0.7768948884728982,8.05431903880565,0.08908133892416742,0.018864420851555496,0.02520085084906347,-0.020928340532866206,0.36061761763708144,0.17321921017517897
2.535820977844061e-05,1.3758798004244466e-05,1.215670351001746,13.72439430590419,-0.028866403119965044,0.014686931613997138,-0.04328343999377538,0.025563829616134414,0.4926837742190226,0.34544414752298447
3.76420660160246e-05,1.888053495550196e-05,0.35379690514824846,10.33355611901727,0.0635501577094935,-0.02099589838857705,-0.02903411381916932,-0.01247200222612003,0.5146846281487003,0.30064976850003294
-0.00031701698475551155,1.9783988909034098e-05,0.5718204460189189,9.054828275232111,0.18382407256920602,-0.010396541560705174,0.012132139431574068,0.030460726930778007,0.6535817813873258,0.37049186318022814
-0.0003458336412399241,1.1713174556985256e-05,-0.32033478331024223,8.27639683628556,0.09191740360375696,-0.028234614152610662,-0.02199806308797045,0.07936537576958888,0.5365010771071841,0.4151923928368788
0.00016223516923350267,1.2835671983131291e-05,-0.4019132452483481,8.67725521165239,0.18973373392212534,-0.07240232160620302,-0.11009643309066328,-0.07841499371165184,0.49900813280495926,0.4090202250481832
0.0003335375957907427,1.9582172495994552e-05,1.8510244589643654,12.301466696319988,-0.01878503231827088,0.0037630358686023767,-0.00782586023702731,-0.05317142036226893,0.5593833314369175,0.2765714493589928
0.00043297708565680714,1.1189489115609552e-05,1.7462915190032415,13.828051267455551,0.09483650546894701,-0.08733118139693524,-0.12511705452693703,-0.09674577502491198,0.6324634801545786,0.30998654429958894
